year,province,category,score,rank_start,rank_end,count
2025,Hunan,Physics,130,318752,318753,2
2025,Hunan,Physics,129,318754,318756,3
2025,Hunan,Physics,128,318757,318764,8
2025,Hunan,Physics,127,318765,318767,3
2025,Hunan,Physics,126,318768,318768,1
2025,Hunan,Physics,125,318769,318771,3
2025,Hunan,Physics,124,318772,318773,2
2025,Hunan,Physics,123,318774,318776,3
2025,Hunan,Physics,122,318777,318779,3
2025,Hunan,Physics,121,318780,318782,3
2025,Hunan,Physics,120,318783,318785,3
2025,Hunan,Physics,119,318786,318786,1
2025,Hunan,Physics,118,318787,318788,2
2025,Hunan,Physics,117,318789,318791,3
2025,Hunan,Physics,116,318792,318792,1
2025,Hunan,Physics,115,318793,318793,1
2025,Hunan,Physics,114,318794,318794,1
2025,Hunan,Physics,113,318795,318797,3
2025,Hunan,Physics,112,318798,318799,2
2025,Hunan,Physics,111,318800,318801,2
2025,Hunan,Physics,110,318802,318802,1
2025,Hunan,Physics,109,318803,318803,1
2025,Hunan,Physics,108,318804,318807,4
2025,Hunan,Physics,107,318808,318810,3
2025,Hunan,Physics,106,318811,318814,4
2025,Hunan,Physics,105,318815,318816,2
2025,Hunan,Physics,104,318817,318817,1
2025,Hunan,Physics,103,318818,318818,1
2025,Hunan,Physics,102,318819,318822,4
2025,Hunan,Physics,101,318822,318823,2
2025,Hunan,Physics,100,318824,318827,4
