year,province,category,score,rank_start,rank_end,count
2026,Hunan,History,130,137944,137944,1
2026,Hunan,History,129,137945,137946,2
2026,Hunan,History,127,137947,137948,2
2026,Hunan,History,126,137949,137949,1
2026,Hunan,History,125,137950,137950,1
2026,Hunan,History,124,137951,137951,1
2026,Hunan,History,123,137952,137955,4
2026,Hunan,History,122,137956,137956,1
2026,Hunan,History,121,137957,137957,1
2026,Hunan,History,119,137958,137958,1
2026,Hunan,History,118,137959,137960,2
2026,Hunan,History,117,137961,137961,1
2026,Hunan,History,115,137962,137963,2
2026,Hunan,History,114,137964,137964,1
2026,Hunan,History,113,137965,137966,2
2026,Hunan,History,112,137967,137969,3
2026,Hunan,History,111,137970,137970,1
2026,Hunan,History,107,137971,137971,1
2026,Hunan,History,105,137972,137974,3
2026,Hunan,History,104,137975,137975,1
2026,Hunan,History,103,137976,137976,1
2026,Hunan,History,102,137977,137980,4
2026,Hunan,History,100,137981,137982,2
2026,Hunan,History,99,137983,139201,1219
